# _tick,_time,frames,total_loss,frames,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1645375645.34584,0,725.872436523438,0,0,8.76520442962647,0.065107770264149,-0.097285374999046,0,0.001360522350296,0.001360522350296,0.020635433495045,0.500596165657043,697.682250976563,19.4571571350098
1,1645375666.04525,3200,571.812561035156,3200,0,-56.971996307373,4.15033197402954,-0.097253613173962,0,0.001351603772491,0.001351603772491,0.021119365468621,0.495382428169251,605.277465820313,19.4540481567383
2,1645375686.72357,6400,574.169128417969,6400,0,13.972996711731,0.199369415640831,-0.097280353307724,0,0.001648789970204,0.001648789970204,0.02380957454443,0.534928679466248,540.639526367188,19.4545402526855
3,1645375706.28337,9600,509.519409179688,9600,0,1.24421107769012,0.032576940953732,-0.097278699278832,0,0.001431280863471,0.001431280863471,0.022806225344539,0.496576905250549,488.887512207031,19.4523944854736
4,1645375725.91315,12800,464.3681640625,12800,0,-0.50129359960556,0.028615461662412,-0.097275488078594,0,0.001262721139938,0.001262721139938,0.019223913550377,0.492778390645981,445.491577148438,19.4465408325195
5,1645375745.27789,16000,427.473510742188,16000,0,0.513444006443024,0.02838077954948,-0.097273759543896,0,0.001248547807336,0.001248547807336,0.020331345498562,0.471031874418259,407.579162597656,19.4497909545898
6,1645375764.90904,19200,395.502990722656,19200,0,1.28278028964996,0.038556359708309,-0.097274363040924,0,0.001547752763145,0.001547752763145,0.022891847416759,0.520872831344605,374.835021972656,19.443904876709
7,1645375784.66336,22400,364.228607177734,22400,0,0.239873096346855,0.029589990153909,-0.09727492928505,0,0.001363698742352,0.001363698742352,0.021135322749615,0.499085426330566,344.601806640625,19.4546184539795
8,1645375805.10374,25600,334.642883300781,25600,0,-0.812486290931702,0.034786313772202,-0.097274385392666,0,0.001227324944921,0.001227324944921,0.019924836233258,0.484164148569107,316.0712890625,19.4465618133545
9,1645375824.81413,28800,310.810638427734,28800,0,1.04525899887085,0.038176611065865,-0.097269229590893,0,0.001451813615859,0.001451813615859,0.021960133686662,0.510713517665863,290.381042480469,19.4434280395508
10,1645375846.21534,32000,290.204864501953,32000,0,-0.223056435585022,0.03318714350462,-0.097265169024468,0,0.001324941404164,0.001324941404164,0.020345278084278,0.495745658874512,271.041168212891,19.4508457183838
11,1645375867.30453,35200,268.757659912109,35200,0,-0.832846462726593,0.030225958675146,-0.0972640812397,0,0.001273860340007,0.001273860340007,0.020361656323075,0.486463278532028,250.211807250977,19.4457454681396
12,1645375888.58894,38400,249.157562255859,38400,0,-0.355827003717422,0.019159415736795,-0.097263172268868,0,0.001065191929229,0.001065191929229,0.018156385049224,0.450608909130096,230.142791748047,19.4487056732178
13,1645375908.85972,41600,237.415542602539,41600,0,0.337494492530823,0.02771520614624,-0.097263872623444,0,0.001229490153492,0.001229490153492,0.019874881953001,0.479274094104767,217.698394775391,19.4492034912109
14,1645375929.51936,44800,221.90837097168,44800,0,0.669861435890198,0.02337690256536,-0.097262628376484,0,0.001228233566508,0.001228233566508,0.01920011267066,0.505812287330627,201.874160766602,19.4382362365723
15,1645375950.03343,48000,209.287307739258,48000,0,0.424074530601502,0.021850004792214,-0.097262181341648,0,0.001298601157032,0.001298601157032,0.020062487572432,0.499836564064026,189.496643066406,19.4420013427734
16,1645375970.66468,51200,196.736526489258,51200,0,-0.633613049983978,0.027579516172409,-0.09726145118475,0,0.001116917002946,0.001116917002946,0.018182938918471,0.476597189903259,177.993850708008,19.4459686279297
17,1645375991.98063,54400,188.016510009766,54400,0,1.19856750965118,0.025450883433223,-0.097256161272526,0,0.001326269470155,0.001326269470155,0.019932447001338,0.513450682163239,167.449829101563,19.4399261474609
18,1645376013.57111,57600,177.72265625,57600,0,0.468744695186615,0.035300068557263,-0.097253754734993,0,0.001352147897705,0.001352147897705,0.020572727546096,0.516923487186432,157.877700805664,19.4381637573242
19,1645376033.64428,60800,165.879302978516,60800,0,0.114670783281326,0.024435337632895,-0.097248591482639,0,0.001197806792334,0.001197806792334,0.01900832913816,0.494910061359405,146.405197143555,19.4322471618652
20,1645376054.11554,64000,157.377883911133,64000,0,-0.586453258991241,0.029974222183228,-0.097246341407299,0,0.001196859171614,0.001196859171614,0.018786465749145,0.493487179279327,138.59831237793,19.4333019256592
21,1645376074.43689,67200,149.595458984375,67200,0,0.888958871364594,0.022105064243078,-0.097244262695313,0,0.001229981309734,0.001229981309734,0.018593611195684,0.509935855865479,129.347198486328,19.4344463348389
22,1645376095.03418,70400,139.560501098633,70400,0,-1.09191691875458,0.027899170294404,-0.097242884337902,0,0.001095788786188,0.001095788786188,0.018183741718531,0.460995554924011,121.282539367676,19.4392223358154
23,1645376115.09441,73600,135.560195922852,73600,0,0.842053651809692,0.03018400259316,-0.09723986685276,0,0.001282178913243,0.001282178913243,0.019363479688764,0.515088617801666,115.341903686523,19.4432849884033
24,1645376135.09833,76800,123.849647521973,76800,0,-1.07652318477631,0.022141048684716,-0.097236134111881,0,0.001005591126159,0.001005591126159,0.016056751832366,0.477720528841019,105.566719055176,19.434549331665
25,1645376155.25136,80000,119.887969970703,80000,0,0.585108637809753,0.022064100950956,-0.097225487232208,0,0.001143021276221,0.001143021276221,0.017887331545353,0.494234591722488,99.9484100341797,19.4296112060547
26,1645376175.7605,83200,117.049072265625,83200,0,1.5690393447876,0.02976806089282,-0.097219280898571,0,0.001281075761653,0.001281075761653,0.020089635625482,0.506993055343628,96.1232376098633,19.4242458343506
27,1645376195.82315,86400,108.000793457031,86400,0,-1.11902618408203,0.03412376716733,-0.097215577960014,0,0.001122590154409,0.001122590154409,0.01794876717031,0.491701483726502,89.7378921508789,19.4450206756592
28,1645376216.07237,89600,104.480049133301,89600,0,0.185387879610062,0.022207697853446,-0.097200565040112,0,0.001174760283902,0.001174760283902,0.018563335761428,0.494560211896896,84.9395446777344,19.4301071166992
29,1645376236.54662,92800,99.7451324462891,92800,0,0.37252277135849,0.021909449249506,-0.097202688455582,0,0.001180546591058,0.001180546591058,0.017891434952617,0.503543317317963,79.9973678588867,19.4505405426025
30,1645376257.11886,96000,96.6717376708984,96000,0,0.617650508880615,0.022403378039599,-0.097201429307461,0,0.001243916107342,0.001243916107342,0.01884001865983,0.50676304101944,76.6980438232422,19.4308376312256
31,1645376277.98441,99200,87.9153137207031,99200,0,-0.247145771980286,0.024001080542803,-0.097197495400906,0,0.001083394046873,0.001083394046873,0.017281761392951,0.496864229440689,68.8094635009766,19.4261913299561
32,1645376299.07516,102400,86.1175384521484,102400,0,-0.44804784655571,0.026571983471513,-0.09719892591238,0,0.001078880974092,0.001078880974092,0.017117308452725,0.486019313335419,67.2030792236328,19.4331321716309
