# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,batch_action_variance
0,1654445435.42337,0,360.309234619141,0,0.511604130268097,0.003697691019624,-0.048620093613863,0,0.000421932112658,0.000421932112658,0.015319122932851,0.077500000596047,350.114013671875,9.72854709625244,3.796875
1,1654445437.15918,1600,307.388305664062,0,-5.79197454452515,0.123654901981354,-0.048592627048493,0,0.000295018340694,0.000295018340694,0.017161970958114,0.059374999254942,303.37548828125,9.72973537445068,3.02734375
2,1654445439.14964,3200,284.327270507812,0,1.01959407329559,0.009459966793656,-0.048595104366541,0,0.000461255607661,0.000461255607661,0.019178962334991,0.083750002086163,273.617218017578,9.72959232330322,2.3583984375
3,1654445441.2411,4800,255.768157958984,0,-2.98449468612671,0.032851122319698,-0.048610094934702,0,0.000379202800104,0.000379202800104,0.015896841883659,0.076875001192093,249.036743164062,9.73167419433594,4.0693359375
4,1654445444.29494,6400,241.676803588867,0,2.27248024940491,0.014259979128838,-0.048596631735563,0,0.000629171787295,0.000629171787295,0.021299328655005,0.109375,229.709487915039,9.72916889190674,3.2021484375
5,1654445447.1938,8000,221.130157470703,0.067619048058987,-1.11853396892548,0.019849821925163,-0.048616994172335,0.000295833335258,0.000737691821996,0.001033525215462,0.018484203144908,0.128124997019768,212.547622680664,9.72984790802002,3.4990234375
6,1654445449.91916,9600,205.683456420898,0,-0.426915436983108,0.003456575563177,-0.048624414950609,0,0.0003060750023,0.0003060750023,0.017757840454578,0.063749998807907,196.421539306641,9.73398780822754,2.671875
7,1654445451.81616,11200,192.303833007813,0,0.477470397949219,0.003782966174185,-0.048621635884047,0,0.000539494736586,0.000539494736586,0.01865323074162,0.100000001490116,182.142364501953,9.72883129119873,2.5927734375
8,1654445453.90658,12800,178.953796386719,0,-0.20879203081131,0.004713172558695,-0.048613887280226,0,0.000438005226897,0.000438005226897,0.018735868856311,0.083125002682209,169.478088378906,9.72838878631592,1.6474609375
9,1654445455.73104,14400,167.245971679688,0,0.364625334739685,0.002208787016571,-0.048609614372254,0,0.000515561900102,0.000515561900102,0.017480680719018,0.099375002086163,157.199172973633,9.72857666015625,4.3583984375
10,1654445457.68791,16000,155.704010009766,0.039047621190548,0.166043743491173,0.012440209276974,-0.048612467944622,0.000170833343873,0.000518936954904,0.000689770269673,0.015514606609941,0.105625003576279,145.844604492188,9.72953319549561,1.7802734375
11,1654445459.71567,17600,145.317153930664,0,-0.644312262535095,0.005415733903646,-0.048604439944029,0,0.000556382292416,0.000556382292416,0.018162965774536,0.109375,136.276062011719,9.72859668731689,3.5
12,1654445461.56232,19200,138.190811157227,0,0.208332523703575,0.002686686813831,-0.048603534698486,0,0.000360080040991,0.000360080040991,0.016926117241383,0.078749999403954,128.297912597656,9.73047924041748,4.43359375
13,1654445463.48083,20800,129.651184082031,0,-0.289259791374207,0.002377217635512,-0.048601530492306,0,0.00035828500404,0.00035828500404,0.016910130158067,0.076875001192093,120.257568359375,9.72911071777344,2.5
14,1654445465.37362,22400,123.242469787598,0.025000000372529,0.757668614387512,0.006201521493495,-0.048593539744616,9.37500008149073E-05,0.000544428243302,0.000638178316876,0.017504051327705,0.109999999403954,112.803100585938,9.72409343719482,1.8037109375
15,1654445467.17195,24000,117.213813781738,0.053888887166977,0.071558825671673,0.020016387104988,-0.048589892685413,0.000202083319891,0.000632493407466,0.000834576727357,0.020563460886479,0.123125001788139,107.442672729492,9.72815418243408,2.9130859375
16,1654445469.19506,25600,108.9560546875,0,-0.760144293308258,0.004595011938363,-0.048610128462315,0,0.000432236789493,0.000432236789493,0.015197580680251,0.094374999403954,100.037857055664,9.72235774993897,3.5302734375
17,1654445471.02927,27200,103.879501342773,0.033333335071802,0.47753769159317,0.004827861208469,-0.048611536622048,0.000125000005937,0.000517858774401,0.00064285879489,0.017158323898912,0.110624998807907,93.7267456054687,9.71899890899658,3.984375
18,1654445473.18384,28800,97.53955078125,0,-0.357762515544891,0.002610684605315,-0.048610582947731,0,0.000357445213012,0.000357445213012,0.015275499783456,0.076250001788139,88.209342956543,9.73397350311279,5.1875
19,1654445474.81915,30400,92.1232833862305,0,-0.009174488484859,0.002236198401079,-0.048611637204886,0,0.000325347471517,0.000325347471517,0.014047508127987,0.071874998509884,82.4556732177734,9.72315883636475,3.2802734375
20,1654445476.73323,32000,87.1779632568359,0,0.144209250807762,0.002479150192812,-0.048607219010592,0,0.00043215212645,0.00043215212645,0.017202984541655,0.09375,77.3609619140625,9.71892070770264,3.9365234375
21,1654445478.67316,33600,82.5912551879883,0.056111112236977,0.604695379734039,0.004949087742716,-0.048594765365124,0.000210416677874,0.000631634495221,0.000842051114887,0.016555175185204,0.130624994635582,72.3171157836914,9.71308708190918,2.8037109375
22,1654445480.46233,35200,76.4271926879883,0,-0.754165053367615,0.006276008207351,-0.04858123883605,0,0.000536832900252,0.000536832900252,0.017421968281269,0.112499997019768,67.5134201049805,9.71024036407471,3.1083984375
23,1654445482.36431,36800,74.1586685180664,0,0.29830127954483,0.002237454988062,-0.048594020307064,0,0.000456597161246,0.000456597161246,0.015109837055206,0.105625003576279,64.1834564208984,9.72326564788818,3.9365234375
24,1654445484.24778,38400,69.1479034423828,0,0.071171976625919,0.003882479853928,-0.04858535528183,0,0.000485006341478,0.000485006341478,0.014867343939841,0.104374997317791,59.4079933166504,9.71344089508057,2.6865234375
25,1654445486.00673,40000,66.6343154907227,0.066666670143604,0.48299103975296,0.044998928904533,-0.048586215823889,0.000291666656267,0.000388873595512,0.00068054033909,0.0156479049474,0.086249999701977,56.4321441650391,9.72276973724365,5.9755859375
26,1654445488.06093,41600,61.5690803527832,0,-0.988534152507782,0.006160396151245,-0.048576410859823,0,0.000342941842973,0.000342941842973,0.015094894915819,0.082500003278256,52.8650436401367,9.73498439788818,3.8740234375
27,1654445489.94322,43200,59.5528564453125,0,0.482318222522736,0.003758630016819,-0.048566903918982,0,0.000381861027563,0.000381861027563,0.014944552443922,0.085625000298023,49.3894805908203,9.72586441040039,5.875
28,1654445491.85603,44800,58.2637825012207,0.117142856121063,0.695344924926758,0.038351900875568,-0.048549644649029,0.000512500002515,0.000629478541669,0.001141978544183,0.019862232729793,0.135625004768372,47.864860534668,9.71377468109131,3.75
29,1654445494.1216,46400,52.2353744506836,0,-1.22243666648865,0.006128812208772,-0.048543285578489,0,0.000238622480538,0.000238622480538,0.016178980469704,0.05562499910593,43.7911148071289,9.70910930633545,3.4375
30,1654445496.44365,48000,52.1332244873047,0,0.610157787799835,0.003100298345089,-0.048546358942986,0,0.00050675572129,0.00050675572129,0.016863444820047,0.111874997615814,41.8510437011719,9.71747016906738,5.671875
31,1654445498.32575,49600,48.4637680053711,0,-0.605195462703705,0.003341468051076,-0.048537068068981,0,0.000336187047651,0.000336187047651,0.01348212454468,0.077500000596047,39.4086608886719,9.7054967880249,3.8115234375
32,1654445500.30657,51200,47.9977607727051,0,0.795607030391693,0.003334832377732,-0.048541072756052,0,0.000562578672543,0.000562578672543,0.016917558386922,0.125,37.5370292663574,9.71033000946045,2
33,1654445502.56703,52800,44.5993041992188,0.124285712838173,-0.37173917889595,0.021272871643305,-0.04853942245245,0.000543750007637,0.00040728962631,0.000951039546635,0.01320262812078,0.097499996423721,35.2834434509277,9.71486473083496,3.1943359375
34,1654445505.353,54400,42.5871810913086,0.078333333134651,0.140775755047798,0.010784903541207,-0.048520170152187,0.000293749995762,0.000428448984167,0.000722199096344,0.012735662050545,0.10062500089407,32.7807083129883,9.70343494415283,2.4990234375
