# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,adversarial_loss,batch_action_variance
0,1654127646.21657,0,351.671997070313,0,0.06857130676508,0.003791220020503,-0.048637449741364,0,0.000617290206719,0.000617290206719,0.022901833057404,0.211875006556511,338.394409179687,9.72932052612305,3.52456212043762,3.1875
1,1654127648.66644,1600,311.470672607422,0.008475610055029,6.10607671737671,0.088030479848385,-0.04862592741847,0.000217187494854,0.001124457689002,0.001341645140201,0.024074777960777,0.216875001788139,290.672210693359,9.72867584228516,4.92430257797241,4.234375
2,1654127650.97149,3200,267.958099365234,0.027926828712225,-6.38138246536255,0.171074450016022,-0.048615925014019,0.000715625006706,0.000718418043107,0.001434043049812,0.023554231971502,0.236874997615814,261.387603759766,9.72619533538818,3.10324907302856,3.8583984375
3,1654127653.48067,4800,252.768585205078,0.006280487403274,1.46501481533051,0.014996057376266,-0.048630274832249,0.000160937488545,0.00091276265448,0.001073700143024,0.021647024899721,0.240624994039536,238.721771240234,9.72315883636475,2.89227247238159,2.30859375
4,1654127655.91027,6400,232.456283569336,0.027750000357628,1.14184558391571,0.054405365139246,-0.04863016307354,0.000693749985658,0.000794088235125,0.001487838220783,0.021167842671275,0.223749995231628,218.896911621094,9.72180080413818,2.68996095657349,2.5224609375
5,1654127658.39112,8000,211.650161743164,0.004085366148502,-0.581769168376923,0.009464023634791,-0.048623990267515,0.000104687504063,0.000803408911452,0.000908096437342,0.022425547242165,0.241249993443489,199.797378540039,9.72150325775147,2.75221705436707,3.609375
6,1654127660.71409,9600,196.560470581055,0.006025641225278,-0.110546678304672,0.009759676642716,-0.048623900860548,0.000146874997881,0.000800274487119,0.000947149412241,0.020946292206645,0.230625003576279,184.289184570313,9.71899795532227,2.70170164108276,2.484375
7,1654127663.26345,11200,181.165054321289,0,-0.047954045236111,0.002402484416962,-0.048625621944666,0,0.000751337094698,0.000751337094698,0.020195093005896,0.223749995231628,168.894332885742,9.72714710235596,2.63775157928467,2.8427734375
8,1654127665.62446,12800,171.844253540039,0.015687499195337,0.586386620998383,0.021523391827941,-0.048625729978085,0.000392187503166,0.00076025252929,0.001152440090664,0.017438799142838,0.221874997019768,158.952102661133,9.71619129180908,2.61668801307678,2.71484375
9,1654127668.16148,14400,158.215133666992,0,-0.367866963148117,0.00297452067025,-0.048627000302076,0,0.000728398561478,0.000728398561478,0.020298777148128,0.234999999403954,146.204956054688,9.7168607711792,2.70683097839355,4.1162109375
10,1654127670.54444,16000,149.193069458008,0,-0.161182224750519,0.001846001134254,-0.048626609146595,0,0.000648434390314,0.000648434390314,0.01802216283977,0.221249997615814,137.072052001953,9.72228527069092,2.60669445991516,2.1162109375
11,1654127672.99679,17600,141.110717773438,0.003536585252732,0.298911601305008,0.005900393705815,-0.048626214265823,9.06249988474883E-05,0.000645971100312,0.000736596062779,0.017295360565186,0.216250002384186,128.548690795898,9.7188720703125,2.58697414398193,2.3818359375
12,1654127675.56981,19200,131.550216674805,0,-0.164840087294579,0.001460841391236,-0.048625707626343,0,0.000652383430861,0.000652383430861,0.017696242779493,0.221874997019768,119.42546081543,9.71132564544678,2.62544345855713,2.27734375
13,1654127678.05698,20800,124.430152893066,0,0.037614457309246,0.001195616554469,-0.048625200986862,0,0.000637867022306,0.000637867022306,0.017442867159844,0.221249997615814,112.095230102539,9.73062229156494,2.61411476135254,2.2724609375
14,1654127680.50831,22400,118.088584899902,0.006280487403274,0.59777182340622,0.013744329102337,-0.048624482005835,0.000160937488545,0.00077500968473,0.000935947173275,0.019532840698958,0.240624994039536,105.068809509277,9.71158409118652,2.74529933929443,4.2490234375
15,1654127683.01657,24000,110.891166687012,0.004634146112949,0.003027323633432,0.006288461387157,-0.048621993511915,0.000118750002002,0.00069561379496,0.000814363826066,0.018350906670094,0.228125005960464,98.5738983154297,9.70898818969727,2.64759159088135,4.3896484375
16,1654127686.35623,25600,104.658279418945,0.026474360376597,0.801801800727844,0.070766441524029,-0.048618175089359,0.000645312538836,0.000722432276234,0.001367744989693,0.019268468022347,0.231875002384186,91.45361328125,9.7176456451416,2.66306781768799,2.3818359375
17,1654127689.71036,27200,98.9686660766602,0.03285713866353,0.275653183460236,0.063600450754166,-0.04860981926322,0.000862499990035,0.000606939254794,0.001469439244829,0.01782918907702,0.219999998807907,86.3432922363281,9.71784114837647,2.61689066886902,2.6240234375
18,1654127693.78736,28800,92.0992965698242,0,-0.994312465190887,0.006026157643646,-0.048603627830744,0,0.000649724621326,0.000649724621326,0.019019475206733,0.235624998807907,80.6882171630859,9.71758365631104,2.73038148880005,4.0771484375
19,1654127696.99935,30400,88.3552703857422,0.015999998897314,0.336058080196381,0.043410565704107,-0.048606868833304,0.000399999989895,0.000602362153586,0.001002361997962,0.01627441495657,0.223749995231628,75.6853332519531,9.71094989776611,2.62812185287476,1.4365234375
20,1654127699.84563,32000,82.4971160888672,0.007378049194813,-0.013952400535345,0.014190433546901,-0.048599034547806,0.000189062498976,0.000620995706413,0.000810058205388,0.015504228882492,0.224374994635582,70.221061706543,9.70660400390625,2.6178092956543,3.5849609375
21,1654127702.91477,33600,78.7025833129883,0.004634146112949,-0.277221888303757,0.005108284298331,-0.048589125275612,0.000118750002002,0.000718768686056,0.000837518717162,0.019012352451682,0.234999999403954,66.6242828369141,9.7079381942749,2.69106435775757,2.796875
22,1654127705.76364,35200,74.4320449829102,0.01871794834733,0.311258882284164,0.022131150588393,-0.048587005585432,0.000456250010757,0.000762760930229,0.001219010911882,0.0185272898525,0.259375005960464,61.6090049743652,9.71140289306641,2.82683563232422,4.046875
23,1654127709.1442,36800,71.1148300170899,0.016402440145612,0.613141059875488,0.035458832979202,-0.048587765544653,0.000420312513597,0.000600909464993,0.001021221862175,0.017687490209937,0.230000004172325,58.1786270141602,9.69957733154297,2.63661003112793,3.4287109375
24,1654127712.53689,38400,67.3428039550781,0.019146339967847,0.021861111745238,0.035377811640501,-0.048570785671473,0.000490624981467,0.000805274990853,0.001295899855904,0.018514413386583,0.259375005960464,54.8045692443848,9.70632362365723,2.82323932647705,4.921875
25,1654127715.69283,40000,63.1127471923828,0,-0.950058579444885,0.00407121470198,-0.048565566539764,0,0.000575319456402,0.000575319456402,0.015953475609422,0.230625003576279,51.7425994873047,9.69675636291504,2.66794729232788,4.359375
26,1654127718.5106,41600,61.4519577026367,0.037142854183912,0.71378231048584,0.042036026716232,-0.048568151891232,0.00097499997355,0.000646401953418,0.001621401868761,0.017601888626814,0.246875002980232,48.3197975158691,9.69372463226318,2.73118591308594,2.9208984375
27,1654127722.06009,43200,57.1303176879883,0.017804877832532,-0.224811375141144,0.044304337352514,-0.048555489629507,0.000456250010757,0.00057423627004,0.001030486193486,0.015540666878224,0.226249992847443,45.0048980712891,9.70526218414307,2.64921998977661,2.40234375
28,1654127725.10329,44800,56.7752799987793,0.02926829457283,0.588911771774292,0.053725957870483,-0.048536788672209,0.000750000006519,0.000639655161649,0.001389655051753,0.016532784327865,0.238749995827675,43.7789115905762,9.71957874298096,2.68268942832947,4.25
