# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,batch_action_variance
0,1654462167.77824,0,369.720794677734,0,4.79584646224976,0.045152317732573,-0.048621755093336,0,0.001126493909396,0.001126493909396,0.018039606511593,0.208749994635582,355.200561523437,9.72783660888672,2.9912109375
1,1654462170.43872,1600,304.148071289063,0.00792682915926,-16.8826389312744,0.669447898864746,-0.048589434474707,0.000203124989639,0.001155275967903,0.001358400913887,0.019124979153276,0.223749995231628,310.679168701172,9.73068714141846,4.37109375
2,1654462172.55553,3200,289.670227050781,0.020243903622031,-0.610434949398041,0.05592805147171,-0.048625536262989,0.000518750050105,0.001375364605337,0.001894114655443,0.023783247917891,0.259999990463257,280.541809082031,9.73153305053711,2.25
3,1654462174.86108,4800,272.416198730469,0,3.61859512329102,0.02471211925149,-0.048610720783472,0,0.001117696985602,0.001117696985602,0.018384689465165,0.226875007152557,259.094970703125,9.72653484344482,5.2958984375
4,1654462177.56682,6400,242.142990112305,0,-6.41118764877319,0.100692942738533,-0.048605021089316,0,0.001184639986604,0.001184639986604,0.020044034346938,0.236874997615814,238.776397705078,9.72569465637207,2.0224609375
5,1654462180.13582,8000,232.242431640625,0.004187500104308,2.01045560836792,0.011710805818439,-0.048610873520374,0.000104687504063,0.001065760967322,0.001170448493212,0.020790176466107,0.200000002980232,220.536987304687,9.73189449310303,3.3193359375
6,1654462182.61155,9600,211.253540039062,0.013782052323222,-4.36282157897949,0.065653584897518,-0.048620544373989,0.000335937511409,0.001117974054068,0.001453911536373,0.018601948395372,0.223124995827675,205.876983642578,9.72235107421875,2.6865234375
7,1654462185.09474,11200,202.082901000977,0.017916666343808,2.07380056381226,0.038096621632576,-0.048621591180563,0.000470312486868,0.000996403163299,0.00146671582479,0.017785351723433,0.216250002384186,190.295288085938,9.72433090209961,4.9208984375
8,1654462187.57904,12800,184.818969726563,0,-4.01952219009399,0.040337059646845,-0.048599597066641,0,0.000994903151877,0.000994903151877,0.018026143312454,0.213750004768372,179.111297607422,9.73546123504639,4.921875
9,1654462190.07471,14400,177.118713378906,0,1.66498506069183,0.006811375264078,-0.048601657152176,0,0.001079884939827,0.001079884939827,0.019784316420555,0.231875002384186,165.76872253418,9.72679805755615,2.80859375
10,1654462192.47837,16000,163.292770385742,0,-1.93580031394959,0.01300918776542,-0.048602629452944,0,0.001080258865841,0.001080258865841,0.016741879284382,0.241249993443489,155.546234130859,9.71793079376221,4.1865234375
11,1654462194.89773,17600,157.513977050781,0.002439024392515,2.6679253578186,0.017645101994276,-0.048609003424645,6.25000029685907E-05,0.000991451786831,0.001053951797076,0.018126789480448,0.217500001192093,145.157485961914,9.7195348739624,4.6240234375
12,1654462197.39332,19200,144.419708251953,0,-1.9965980052948,0.013780581764877,-0.048602674156427,0,0.001037508714944,0.001037508714944,0.019151205196977,0.226875007152557,136.72541809082,9.72571277618408,5.671875
13,1654462199.78127,20800,140.978469848633,0.021904762834311,3.21403694152832,0.071186557412148,-0.04860046133399,0.000575000012759,0.0011175009422,0.001692500896752,0.019296312704682,0.254375010728836,128.020370483398,9.72148036956787,4.375
14,1654462202.16038,22400,129.779556274414,0,-1.41774356365204,0.011532202363014,-0.048602256923914,0,0.000946040148847,0.000946040148847,0.016924196854234,0.213750004768372,121.510391235352,9.72398281097412,2.87109375
15,1654462204.6171,24000,125.963745117188,0.047621950507164,2.91603374481201,0.12669512629509,-0.048596024513245,0.00122031243518,0.001291854656301,0.002512167207897,0.021706504747272,0.264375001192093,113.254013061523,9.71559810638428,3.9375
16,1654462207.09261,25600,114.747657775879,0,-1.80712676048279,0.019474361091852,-0.048575580120087,0,0.001014448236674,0.001014448236674,0.017508046701551,0.226875007152557,106.87043762207,9.71344661712647,4.62109375
17,1654462209.36181,27200,111.619911193848,0.002439024392515,0.523830533027649,0.003516314318404,-0.048578768968582,6.25000029685907E-05,0.000975453527644,0.001037953537889,0.019067557528615,0.219374999403954,101.421127319336,9.72001934051514,2.12109375
18,1654462211.70687,28800,106.35758972168,0.019999999552965,0.375053226947784,0.04159514978528,-0.04856825247407,0.000512500002515,0.001023539807647,0.001536039751954,0.018163787201047,0.221249997615814,96.2667388916016,9.7227668762207,2.7568359375
19,1654462214.02296,30400,98.7268905639649,0.020487805828452,0.329889237880707,0.023649385198951,-0.048559788614512,0.000525000039488,0.001031163614243,0.001556163770147,0.018069846555591,0.238124996423721,88.7114791870117,9.71043300628662,4.93359375
20,1654462217.04026,32000,93.138542175293,0,-0.498200923204422,0.008666721172631,-0.048550814390183,0,0.000936731230468,0.000936731230468,0.017486365512014,0.223749995231628,83.9655990600586,9.71103191375732,4.046875
21,1654462219.53895,33600,90.4162216186523,0.00792682915926,0.824211239814758,0.022621676325798,-0.048539076000452,0.000203124989639,0.001077704015188,0.001280828961171,0.017909891903401,0.239999994635582,79.9035873413086,9.71434307098389,1.875
22,1654462221.88489,35200,84.2491149902344,0.039523810148239,-0.242149919271469,0.045875776559115,-0.048547089099884,0.00103750010021,0.000968647247646,0.002006147289649,0.017449516803026,0.231875002384186,74.7868347167969,9.70710372924805,3.2333984375
23,1654462224.19483,36800,79.8803405761719,0.01681249961257,0.199726760387421,0.030230695381761,-0.048546016216278,0.000420312513597,0.000954004994128,0.001374317565933,0.017813187092543,0.238124996423721,69.9919967651367,9.70692920684814,3.25
24,1654462226.48514,38400,75.8077087402344,0.008910256437957,-0.830316603183746,0.010217059403658,-0.048535741865635,0.000217187494854,0.00101764453575,0.001234831870534,0.016737757250667,0.237499997019768,66.9551773071289,9.72116470336914,1.68359375
